dish_name,countries_of_origin,ingredients
Cepelinai,['Lithuania'],"['dill', 'cream', 'mushroom', 'bacon', 'onion', 'sour_cream', 'garlic', 'potato', 'salt', 'pepper', 'ground_meat', 'egg', 'meat']"
Msabbaha,"['Oman', 'Jordan', 'Bahrain', 'Palestine', 'Qatar', 'United Arab Emirates', 'Iraq', 'Syria', 'Israel', 'Lebanon', 'Iran', 'Egypt', 'Cyprus', 'Turkey', 'Kuwait', 'Saudi Arabia']","['lemon_juice', 'nut', 'chickpea', 'lemon', 'pine_nut', 'garlic', 'olive_oil', 'parsley', 'salt', 'cumin', 'paprika', 'chili_flake', 'pepper', 'olive', 'oil', 'tahini', 'chili', 'pomegranate_seed']"
Lazarakia,"['Greece', 'Cyprus']","['yeast', 'cinnamon', 'nutmeg', 'water', 'flour', 'olive_oil', 'sugar', 'salt', 'olive', 'clove', 'raisin', 'oil', 'orange', 'orange_zest']"
Dressed Crab,['United Kingdom'],"['cayenne_pepper', 'bread_crumb', 'black_pepper', 'crab', 'lemon_juice', 'lemon', 'crab_meat', 'parsley', 'mustard', 'salt', 'paprika', 'pepper', 'bread', 'meat', 'mayonnaise']"
Dak-galbi,['South Korea'],"['perilla_leaf', 'garlic', 'rice_cake', 'potato', 'mozzarella', 'soy_sauce', 'scallion', 'mozzarella_cheese', 'sesame_seed', 'ginger', 'cabbage', 'rice', 'gochujang', 'cheese', 'green_cabbage', 'carrot', 'chicken', 'sweet_potato', 'sesame_oil', 'oil']"
Cola Chicken,"['Hong Kong', 'Macau', 'China']","['cooking_oil', 'chicken', 'sesame_seed', 'cola', 'chili', 'garlic', 'onion', 'ginger', 'dark_soy_sauce', 'green_onion', 'pepper', 'chili_pepper', 'chicken_wing', 'soy_sauce', 'oil']"
Pastel De Chucho,['Venezuela'],"['milk', 'plantain', 'garlic', 'onion', 'butter', 'scallion', 'sugar', 'bell_pepper', 'stingray', 'tomato', 'bread', 'lime_juice', 'parsley', 'oil', 'olive', 'cheese', 'raisin', 'egg', 'bread_crumb', 'caper', 'salt', 'pepper', 'lime']"
Cơm Nắm,['Vietnam'],"['sesame_seed', 'coconut', 'rice', 'peanut', 'salt', 'shredded_coconut', 'roasted_peanut']"
Empal Gentong,['Indonesia'],"['candle_nut', 'lemon_gras', 'milk', 'coconut', 'garlic', 'green_chili', 'coriander', 'chili', 'kaffir_lime_leaf', 'nut', 'sugar', 'ginger', 'nutmeg', 'fried_shallot', 'lime_leaf', 'lime', 'bay_leaf', 'clove', 'galangal', 'cooking_oil', 'lemon', 'turmeric', 'shallot', 'salt', 'coconut_milk', 'pepper', 'oil', 'beef']"
Goulash,['Hungary'],"['beef_broth', 'broth', 'onion', 'garlic', 'potato', 'bell_pepper', 'salt', 'tomato', 'paprika', 'pepper', 'beef', 'caraway_seed']"
Tiết Canh,['Vietnam'],"['fish', 'duck_meat', 'blood', 'duck_blood', 'garlic', 'mint', 'lime', 'pork_blood', 'shallot', 'fish_sauce', 'peanut', 'coriander', 'pork', 'herb', 'lime_juice', 'duck', 'chili', 'meat']"
Cochinita Pibil,['Mexico'],"['vinegar', 'annatto', 'oregano', 'annatto_seed', 'garlic', 'salt', 'cumin', 'orange_juice', 'pork', 'pepper', 'clove', 'orange']"
Kebapche,"['Bulgaria', 'North Macedonia']","['black_pepper', 'baking_soda', 'ground_beef', 'onion', 'garlic', 'ground_pork', 'salt', 'cumin', 'paprika', 'pepper', 'pork', 'beef']"
Quesadilla,['Mexico'],"['vegetable', 'cheese', 'tortilla', 'meat']"
Mujdei,['Romania'],"['yogurt', 'lemon_juice', 'dill', 'cream', 'lemon', 'garlic', 'sour_cream', 'parsley', 'salt', 'vinegar', 'oil', 'water']"
Gaebul-hoe,"['North Korea', 'South Korea']","['perilla_leaf', 'sesame_oil', 'salt', 'gaebul', 'oil']"
Buddha Jumps Over The Wall,['China'],"['sea_cucumber', 'bamboo_shoot', 'chicken', 'jinhua_ham', 'shark_fin', 'ham', 'cucumber', 'mushroom', 'abalone', 'dried_scallop', 'pork', 'other_delicacy']"
